2015-16 2014-15,SA0GP16R SA0GP15R,"DA0GP16R DA0GP15R
:unselected: :unselected:",CA0GP16R CA0GP15R,CB0GP16R CB0GP15R,CH0GP16R CH0GP15R,CW0GP16R CW0GP15R,CI0GP16R CI0GP15R,C30GP16R C30GP15R,C40GP16R C40GP15R,C20GP16R C20GP15R,CS0GP16R CS0GP15R,CE0GP16R CE0GP15R,CL0GP16R CL0GP15R,,,
Texas Success Initiative Assessment (TSIA),,,,,,,,,,,,,,,,
English Language Arts,,,,,,,,,,,,,,,,
2015-16,SAEGT16R,"DAEGT16R
:unselected:",CAEGT16R,CBEGT16R,CHEGT16R,CWEGT16R,CIEGT16R,C3EGT16R,C4EGT16R,C2EGT16R,CSEGT16R,CEEGT16R,CLEGT16R,,,
2014-15,SAEGT15R,"DAEGT15R
:unselected:",CAEGT15R,CBEGT15R,CHEGT15R,CWEGT15R,CIEGT15R,C3EGT15R,C4EGT15R,C2EGT15R,CSEGT15R,CEEGT15R,CLEGT15R,,,
Mathematics 2015-16,SAMGT16R,DAMGT16R,CAMGT16R,CBMGT16R,CHMGT16R,CWMGT16R,CIMGT16R,C3MGT16R,C4MGT16R,C2MGT16R,CSMGT16R,CEMGT16R,CLMGT16R,,,
2014-15,SAMGT15R,DAMGT15R,CAMGT15R,CBMGT15R,CHMGT15R,CWMGT15R,CIMGT15R,C3MGT15R,C4MGT15R,C2MGT15R,CSMGT15R,CEMGT15R,CLMGT15R,,,
Completion of Two or More Advanced/Dual-Credit Courses in Current and/or Prior Year (Annual Graduates),,,,,,,,,,,,,,,,
2015-16,SA0G216R,DA0G216R,CA0G216R,CB0G216R,CH0G216R,CW0G216R,CI0G216R,C30G216R,C40G216R,C20G216R,CS0G216R,CE0G216R,CL0G216R,,,
2014-15,SA0G215R,DA0G215R,CA0G215R,CB0G215R,CH0G215R,CW0G215R,CI0G215R,C30G215R,C40G215R,C20G215R,CS0G215R,CE0G215R,CL0G215R,,,
Completion of Twelve or More Hours of Postsecondary Credit (Annual Graduates),,,,,,,,,,,,,,,,
Any Subject,,,,,,,,,,,,,,,,
2015-16,SA0GUA16R,DA0GUA16R,CA0GUA16R,CB0GUA16R,CH0GUA16R,CW0GUA16R,CI0GUA16R,C30GUA16R,C40GUA16R,C20GUA16R,CS0GUA16R,CE0GUA16R,CL0GUA16R,,,
2014-15,SA0GUA15R,"DA0GUA15R
:unselected:",CA0GUA15R,CB0GUA15R,CH0GUA15R,CW0GUA15R,CI0GUA15R,C30GUA15R,C40GUA15R,C20GUA15R,CS0GUA15R,CE0GUA15R,CL0GUA15R,,,
AP/IB Course Completion (Annual Graduates),,,,,,,,,,,,,,,,
2015-16,SA0GB16R,"DA0GB16R
:unselected:",CA0GB16R,CB0GB16R,CH0GB16R,CW0GB16R,CI0GB16R,C30GB16R,C40GB16R,C20GB16R,CS0GB16R,CE0GB16R,CL0GB16R,,,
2014-15,SA0GB15R,DA0GB15R,CA0GB15R,CB0GB15R,CH0GB15R,CW0GB15R,CI0GB15R,C30GB15R,C40GB15R,C20GB15R,CS0GB15R,CE0GB15R,CL0GB15R,,,
CTE Coherent Sequence (Annual Graduates),,,,,,,,,,,,,,,,
2015-16,SA0GV16R,DA0GV16R,CA0GV16R,CB0GV16R,CH0GV16R,CW0GV16R,CI0GV16R,C30GV16R,C40GV16R,C20GV16R,CS0GV16R,CE0GV16R,CL0GV16R,,,
2014-15,SA0GV15R,"DA0GV15R
:unselected:",CA0GV15R,CB0GV15R,CH0GV15R,CW0GV15R,CI0GV15R,C30GV15R,C40GV15R,C20GV15R,CS0GV15R,CE0GV15R,CL0GV15R,,,
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
AP/IB Results (Participation),,,,,,,,,,,,,,,,
All Subjects,,,,,,,,,,,,,,,,
2016,SA0BTA16R,DA0BTA16R,CA0BTA16R,CB0BTA16R,CH0BTA16R,CW0BTA16R,CI0BTA16R,C30BTA16R,C40BTA16R,C20BTA16R,n/a,CE0BTA16R,n/a,,,
2015,SA0BTA15R,DA0BTA15R,CA0BTA15R,CB0BTA15R,CH0BTA15R,CW0BTA15R,CI0BTA15R,C30BTA15R,C40BTA15R,C20BTA15R,n/a,CE0BTA15R,n/a,,,
English Language Arts,,,,,,,,,,,,,,,,
2016,SA0BTE16R,DA0BTE16R,CA0BTE16R,CB0BTE16R,CH0BTE16R,CW0BTE16R,CI0BTE16R,C30BTE16R,C40BTE16R,C20BTE16R,n/a,CE0BTE16R,n/a,,,
2015,SA0BTE15R,DA0BTE15R,CA0BTE15R,CB0BTE15R,CH0BTE15R,CW0BTE15R,CI0BTE15R,C30BTE15R,C40BTE15R,C20BTE15R,n/a,CE0BTE15R,n/a,,,
Mathematics 2016,SA0BTM16R,DA0BTM16R,CA0BTM16R,CB0BTM16R,CH0BTM16R,CW0BTM16R,CI0BTM16R,C30BTM16R,C40BTM16R,C20BTM16R,n/a,CE0BTM16R,n/a,,,
2015,SA0BTM15R,DA0BTM15R,CA0BTM15R,CB0BTM15R,CH0BTM15R,CW0BTM15R,CI0BTM15R,C30BTM15R,C40BTM15R,C20BTM15R,n/a,CE0BTM15R,n/a,,,
Science 2016,SA0BTC16R,DA0BTC16R,CA0BTC16R,CB0BTC16R,CH0BTC16R,CW0BTC16R,CI0BTC16R,C30BTC16R,C40BTC16R,C20BTC16R,n/a,CE0BTC16R,n/a,,,
2015,SA0BTC15R,DA0BTC15R,CA0BTC15R,CB0BTC15R,CH0BTC15R,CW0BTC15R,CI0BTC15R,C30BTC15R,C40BTC15R,C20BTC15R,n/a,CE0BTC15R,n/a,,,
Social Studies,,,,,,,,,,,,,,,,
2016,SA0BTS16R,DA0BTS16R,CA0BTS16R,CB0BTS16R,CH0BTS16R,CW0BTS16R,CI0BTS16R,C30BTS16R,C40BTS16R,C20BTS16R,n/a,CE0BTS16R,n/a,,,
2015,SA0BTS15R,DA0BTS15R,CA0BTS15R,CB0BTS15R,CH0BTS15R,CW0BTS15R,CI0BTS15R,C30BTS15R,C40BTS15R,C20BTS15R,n/a,CE0BTS15R,n/a,,,
AP/IB Results (Examinees >= Criterion),,,,,,,,,,,,,,,,
All Subjects,,,,,,,,,,,,,,,,
2016,SA0BKA16R,DA0BKA16R,CA0BKA16R,CB0BKA16R,CH0BKA16R,CW0BKA16R,CI0BKA16R,C30BKA16R,C40BKA16R,C20BKA16R,n/a,CE0BKA16R,n/a,,,
2015,SA0BKA15R,DA0BKA15R,CA0BKA15R,CB0BKA15R,CH0BKA15R,CW0BKA15R,CI0BKA15R,C30BKA15R,C40BKA15R,C20BKA15R,n/a,CE0BKA15R,n/a,,,
English Language Arts 2016,SA0BKE16R,DA0BKE16R,CA0BKE16R,CB0BKE16R,CH0BKE16R,CW0BKE16R,CI0BKE16R,C30BKE16R,C40BKE16R,C20BKE16R,n/a,CE0BKE16R,n/a,,,
2015,SA0BKE15R,DA0BKE15R,CA0BKE15R,CB0BKE15R,CH0BKE15R,CW0BKE15R,CI0BKE15R,C30BKE15R,C40BKE15R,C20BKE15R,n/a,CE0BKE15R,n/a,,,
Mathematics,,,,,,,,,,,,,,,,
2016,SA0BKM16R,DA0BKM16R,CA0BKM16R,CB0BKM16R,CH0BKM16R,CW0BKM16R,CI0BKM16R,C30BKM16R,C40BKM16R,C20BKM16R,n/a,CE0BKM16R,n/a,,,
2015,SA0BKM15R,DA0BKM15R,CA0BKM15R,CB0BKM15R,CH0BKM15R,CW0BKM15R,CI0BKM15R,C30BKM15R,C40BKM15R,C20BKM15R,n/a,CE0BKM15R,n/a,,,
Science,,,,,,,,,,,,,,,,
2016,SA0BKC16R,DA0BKC16R,CA0BKC16R,CB0BKC16R,CH0BKC16R,CW0BKC16R,CI0BKC16R,C30BKC16R,C40BKC16R,C20BKC16R,n/a,CE0BKC16R,n/a,,,
2015,SA0BKC15R,DA0BKC15R,CA0BKC15R,CB0BKC15R,CH0BKC15R,CW0BKC15R,CI0BKC15R,C30BKC15R,C40BKC15R,C20BKC15R,n/a,CE0BKC15R,n/a,,,
Social Studies 2016,SA0BKS16R,DA0BKS16R,CA0BKS16R,CB0BKS16R,CH0BKS16R,CW0BKS16R,CI0BKS16R,C30BKS16R,C40BKS16R,C20BKS16R,n/a,CE0BKS16R,n/a,,,
2015,SA0BKS15R,DA0BKS15R,CA0BKS15R,CB0BKS15R,CH0BKS15R,CW0BKS15R,CI0BKS15R,C30BKS15R,C40BKS15R,C20BKS15R,n/a,CE0BKS15R,n/a,,,
SAT/ACT Results,,,,,,,,,,,,,,,,
Tested,,,,,,,,,,,,,,,,
Class of 2016,SA0CT16R,DA0CT16R,CA0CT16R,CB0CT16R,CH0CT16R,CW0CT16R,CI0CT16R,C30CT16R,C40CT16R,C20CT16R,n/a,CE0CT16R,n/a,,,
Class of 2015,SA0CT15R,DA0CT15R,CA0CT15R,CB0CT15R,CH0CT15R,CW0CT15R,CI0CT15R,C30CT15R,C40CT15R,C20CT15R,n/a,CE0CT15R,n/a,,,
At/Above Criterion Class of 2016,SA0CC16R,DA0CC16R,CA0CC16R,CB0CC16R,CH0CC16R,CW0CC16R,CI0CC16R,C30CC16R,C40CC16R,C20CC16R,n/a,CE0CC16R,n/a,,,
Class of 2015,SA0CC15R,DA0CC15R,CA0CC15R,CB0CC15R,CH0CC15R,CW0CC15R,CI0CC15R,C30CC15R,C40CC15R,C20CC15R,n/a,CE0CC15R,n/a,,,
Average SAT Score All Subjects,,,,,,,,,,,,,,,,
Class of 2016,SA0CSA16R,DA0CSA16R,CA0CSA16R,CB0CSA16R,CH0CSA16R,CW0CSA16R,CI0CSA16R,C30CSA16R,C40CSA16R,C20CSA16R,n/a,CE0CSA16R,n/a,,,
Class of 2015,SA0CSA15R,DA0CSA15R,CA0CSA15R,CB0CSA15R,CH0CSA15R,CW0CSA15R,CI0CSA15R,C30CSA15R,C40CSA15R,C20CSA15R,n/a,CE0CSA15R,n/a,,,
English Language Arts and Writing,,,,,,,,,,,,,,,,
Class of 2016,SA0CSE16R,DA0CSE16R,CA0CSE16R,CB0CSE16R,CH0CSE16R,CW0CSE16R,CI0CSE16R,C30CSE16R,C40CSE16R,C20CSE16R,n/a,CE0CSE16R,n/a,,,
Class of 2015,SA0CSE15R,DA0CSE15R,CA0CSE15R,CB0CSE15R,CH0CSE15R,CW0CSE15R,CI0CSE15R,C30CSE15R,C40CSE15R,C20CSE15R,n/a,CE0CSE15R,n/a,,,
Mathematics,,,,,,,,,,,,,,,,
Class of 2016,SA0CSM16R,DA0CSM16R,CA0CSM16R,CB0CSM16R,CH0CSM16R,CW0CSM16R,CI0CSM16R,C30CSM16R,C40CSM16R,C20CSM16R,n/a,CE0CSM16R,n/a,,,
Class of 2015,SA0CSM15R,DA0CSM15R,CA0CSM15R,CB0CSM15R,CH0CSM15R,CW0CSM15R,CI0CSM15R,C30CSM15R,C40CSM15R,C20CSM15R,n/a,CE0CSM15R,n/a,,,
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
Average ACT Score,,,,,,,,,,,,,,,,
All Subjects,,,,,,,,,,,,,,,,
Class of 2016,SA0CAA16R,DA0CAA16R,CA0CAA16R,CB0CAA16R,CH0CAA16R,CW0CAA16R,CI0CAA16R,C30CAA16R,C40CAA16R,C20CAA16R,n/a,CE0CAA16R,n/a,,,
Class of 2015,SA0CAA15R,DA0CAA15R,CA0CAA15R,CB0CAA15R,CH0CAA15R,CW0CAA15R,CI0CAA15R,C30CAA15R,C40CAA15R,C20CAA15R,n/a,CE0CAA15R,n/a,,,
English Language Arts,,,,,,,,,,,,,,,,
Class of 2016,SA0CAE16R,DA0CAE16R,CA0CAE16R,CB0CAE16R,CH0CAE16R,CW0CAE16R,CI0CAE16R,C30CAE16R,C40CAE16R,C20CAE16R,n/a,CE0CAE16R,n/a,,,
Class of 2015,SA0CAE15R,DA0CAE15R,CA0CAE15R,CB0CAE15R,CH0CAE15R,CW0CAE15R,CI0CAE15R,C30CAE15R,C40CAE15R,C20CAE15R,n/a,CE0CAE15R,n/a,,,
Mathematics,,,,,,,,,,,,,,,,
Class of 2016,SA0CAM16R,DA0CAM16R,CA0CAM16R,CB0CAM16R,CH0CAM16R,CW0CAM16R,CI0CAM16R,C30CAM16R,C40CAM16R,C20CAM16R,n/a,CE0CAM16R,n/a,,,
Class of 2015,SA0CAM15R,DA0CAM15R,CA0CAM15R,CB0CAM15R,CH0CAM15R,CW0CAM15R,CI0CAM15R,C30CAM15R,C40CAM15R,C20CAM15R,n/a,CE0CAM15R,n/a,,,
Science,,,,,,,,,,,,,,,,
Class of 2016,SA0CAC16R,DA0CAC16R,CA0CAC16R,CB0CAC16R,CH0CAC16R,CW0CAC16R,CI0CAC16R,C30CAC16R,C40CAC16R,C20CAC16R,n/a,CE0CAC16R,n/a,,,
Class of 2015,SA0CAC15R,DA0CAC15R,CA0CAC15R,CB0CAC15R,CH0CAC15R,CW0CAC15R,CI0CAC15R,C30CAC15R,C40CAC15R,C20CAC15R,n/a,CE0CAC15R,n/a,,,
Graduates Enrolled in Texas Institution of Higher Education (TX IHE),,,,,,,,,,,,,,,,
2014-15,SAHEE16R,DAHEE16R,CAHEE16R,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
2013-14,SAHEE15R,DAHEE15R,CAHEE15R,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Graduates in TX IHE Completing One Year Without Remediation,,,,,,,,,,,,,,,,
2014-15,SAHEC16R,DAHEC16R,CAHEC16R,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
2013-14,SAHEC15R,DAHEC15R,CAHEC15R,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
,,,,,,,,,,,,,,,,
Student Information,"Count
---------------- Campus","Percent
----------------",District,State,,,,,,,,,,,,
Total Students:,CPETALLC,100.0%,DPETALLC,SPETALLC,,,,,,,,,,,,
Students by Grade:,,,,,,,,,,,,,,,,
Early Childhood Education,CPETGEEC,CPETGEEP,DPETGEEP,SPETGEEP,,,,,,,,,,,,
Pre-Kindergarten,CPETGPKC,CPETGPKP,DPETGPKP,SPETGPKP,,,,,,,,,,,,
Kindergarten,CPETGKNC,CPETGKNP,DPETGKNP,SPETGKNP,,,,,,,,,,,,
Grade 1,CPETG01C,CPETG01P,DPETG01P,SPETG01P,,,,,,,,,,,,
Grade 2,CPETG02C,CPETG02P,DPETG02P,SPETG02P,,,,,,,,,,,,
Grade 3,CPETG03C,CPETG03P,DPETG03P,SPETG03P,,,,,,,,,,,,
Grade 4,CPETG04C,CPETG04P,DPETG04P,SPETG04P,,,,,,,,,,,,
Grade 5,CPETG05C,CPETG05P,DPETG05P,SPETG05P,,,,,,,,,,,,
Grade 6,CPETG06C,CPETG06P,DPETG06P,SPETG06P,,,,,,,,,,,,
Grade 7,CPETG07C,CPETG07P,DPETG07P,SPETG07P,,,,,,,,,,,,
Grade 8,CPETG08C,CPETG08P,DPETG08P,SPETG08P,,,,,,,,,,,,
Grade 9,CPETG09C,CPETG09P,DPETG09P,SPETG09P,,,,,,,,,,,,
Grade 10,CPETG10C,CPETG10P,DPETG10P,SPETG10P,,,,,,,,,,,,
Grade 11,CPETG11C,CPETG11P,DPETG11P,SPETG11P,,,,,,,,,,,,
Grade 12,CPETG12C,CPETG12P,DPETG12P,SPETG12P,,,,,,,,,,,,
Ethnic Distribution:,,,,,,,,,,,,,,,,
African American,CPETBLAC,CPETBLAP,DPETBLAP,SPETBLAP,,,,,,,,,,,,
Hispanic,CPETHISC,CPETHISP,DPETHISP,SPETHISP,,,,,,,,,,,,
White,CPETWHIC,CPETWHIP,DPETWHIP,SPETWHIP,,,,,,,,,,,,
American Indian,CPETINDC,CPETINDP,DPETINDP,SPETINDP,,,,,,,,,,,,
Asian,CPETASIC,CPETASIP,DPETASIP,SPETASIP,,,,,,,,,,,,
Pacific Islander,CPETPCIC,CPETPCIP,DPETPCIP,SPETPCIP,,,,,,,,,,,,
Two or More Races,CPETTWOC,CPETTWOP,DPETTWOP,SPETTWOP,,,,,,,,,,,,
Economically Disadvantaged,CPETECOC,CPETECOP,DPETECOP,SPETECOP,,,,,,,,,,,,
Non-Educationally Disadvantaged,CPETNEDC,CPETNEDP,DPETNEDP,SPETNEDP,,,,,,,,,,,,
English Language Learners (ELL),CPETLEPC,CPETLEPP,DPETLEPP,SPETLEPP,,,,,,,,,,,,
Students w/ Disciplinary Placements (2015-2016),CPETDISC,CPETDISP,DPETDISP,SPETDISP,,,,,,,,,,,,
At-Risk,CPETRSKC,CPETRSKP,DPETRSKP,SPETRSKP,,,,,,,,,,,,
Students with Disabilities by Type of Primary Disability,,,,,,,,,,,,,,,,
Total Students with Disabilities,CPETSIMC,,,,,,,,,,,,,,,
By Type of Primary Disability,,,,,,,,,,,,,,,,
Students with Intellectual Disabilities,CPETSINC,CPETSINP,DPETSINP,SPETSINP,,,,,,,,,,,,
Students with Physical Disabilities,CPETSPHC,CPETSPHP,DPETSPHP,SPETSPHP,,,,,,,,,,,,
Students with Autism,CPETSAUC,CPETSAUP,DPETSAUP,SPETSAUP,,,,,,,,,,,,
Students with Behavioral Disabilities,CPETSBHC,CPETSBHP,DPETSBHP,SPETSBHP,,,,,,,,,,,,
Students with Non-Categorical Early Childhood,CPETSNOC,CPETSNOP,DPETSNOP,SPETSNOP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Student Information,Count,Percent,District,State,,,,,,,,,,,,
Mobility (2015-2016),,,,,,,,,,,,,,,,
Total Mobile Students,CPEMALLC,CPEMALLP,DPEMALLP,SPEMALLP,,,,,,,,,,,,
By Ethnicity,,,,,,,,,,,,,,,,
African American,CPEMBLAC,CPEMBLAP,,,,,,,,,,,,,,
Hispanic,CPEMHISC,CPEMHISP,,,,,,,,,,,,,,
White,CPEMWHIC,CPEMWHIP,,,,,,,,,,,,,,
American Indian,CPEMINDC,CPEMINDP,,,,,,,,,,,,,,
Asian,CPEMASIC,CPEMASIP,,,,,,,,,,,,,,
Pacific Islander,CPEMPCIC,CPEMPCIP,,,,,,,,,,,,,,
Two or More Races,CPEMTWOC,CPEMTWOP,,,,,,,,,,,,,,
Graduates (Class of 2016):,,,,,,,,,,,,,,,,
Total Graduates,CA0GR16N,100.0%,DA0GR16N,SA0GR16N,,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,,,,,,,,,,,,,,,,
African American,CB0GR16N,CB0GR16R,DB0GR16N,SB0GR16N,,,,,,,,,,,,
Hispanic,CH0GR16N,CH0GR16R,DH0GR16N,SH0GR16N,,,,,,,,,,,,
White,CW0GR16N,CW0GR16R,DW0GR16N,SW0GR16N,,,,,,,,,,,,
American Indian,CI0GR16N,CI0GR16R,DI0GR16N,SI0GR16N,,,,,,,,,,,,
Asian,C30GR16N,C30GR16R,D30GR16N,S30GR16N,,,,,,,,,,,,
Pacific Islander,C40GR16N,C40GR16R,D40GR16N,S40GR16N,,,,,,,,,,,,
Two or More Races,C20GR16N,C20GR16R,D20GR16N,S20GR16N,,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,,,,,,,,,,,,,,,,
Minimum H.S. Program,CA0GM16N,CA0GM16P,DA0GM16N,SA0GM16N,,,,,,,,,,,,
Recommended H.S. Program/DAP,CA0GH16N,CA0GH16P,DA0GH16N,SA0GH16N,,,,,,,,,,,,
Foundation High School Plan (No Endorsement),CA0GN16N,CA0GN16P,DA0GN16N,SA0GN16N,,,,,,,,,,,,
Foundation High School Plan (Endorsement),CA0GE16N,CA0GE16P,DA0GE16N,SA0GE16N,,,,,,,,,,,,
Foundation High School Plan (DLA),CA0GA16N,CA0GA16P,DA0GA16N,SA0GA16N,,,,,,,,,,,,
Special Education Graduates,CS0GR16N,CS0GR16R,DS0GR16N,SS0GR16N,,,,,,,,,,,,
Economically Disadvantaged Graduates (download only),CE0GR16N,CE0GR16R,DE0GR16N,SE0GR16N,,,,,,,,,,,,
LEP Graduates (download only),CL0GR16N,CL0GR16R,DL0GR16N,SL0GR16N,,,,,,,,,,,,
At Risk Graduates (download only),CR0GR16N,CR0GR16R,DR0GR16N,SR0GR16N,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Student Information,"Campus
---------","District
Non-Special Education","State
Rates","Campus
Special",District,State,,,,,,,,,,
Retention Rates by Grade:,,,,,,,,,,,,,,,,
Kindergarten,CPERRAKR,DPERRAKR,SPERRAKR,CPERSAKR,DPERSAKR,SPERSAKR,,,,,,,,,,
Grade 1,CPERRA1R,DPERRA1R,SPERRA1R,CPERSA1R,DPERSA1R,SPERSA1R,,,,,,,,,,
Grade 2,CPERRA2R,DPERRA2R,SPERRA2R,CPERSA2R,DPERSA2R,SPERSA2R,,,,,,,,,,
Grade 3,CPERRA3R,DPERRA3R,SPERRA3R,CPERSA3R,DPERSA3R,SPERSA3R,,,,,,,,,,
Grade 4,CPERRA4R,DPERRA4R,SPERRA4R,CPERSA4R,DPERSA4R,SPERSA4R,,,,,,,,,,
Grade 5,CPERRA5R,DPERRA5R,SPERRA5R,CPERSA5R,DPERSA5R,SPERSA5R,,,,,,,,,,
Grade 6,CPERRA6R,DPERRA6R,SPERRA6R,CPERSA6R,DPERSA6R,SPERSA6R,,,,,,,,,,
Grade 7,CPERRA7R,"DPERRA7R
:unselected:",SPERRA7R,CPERSA7R,DPERSA7R,SPERSA7R,,,,,,,,,,
Grade 8,CPERRA8R,DPERRA8R,SPERRA8R,CPERSA8R,DPERSA8R,SPERSA8R,,,,,,,,,,
,,,,,,,,,,,,,,,,
Class Size Information,Campus,District,State,,,,,,,,,,,,,
Class Size Averages by Grade and Subject (Derived from teacher responsibility records):,,,,,,,,,,,,,,,,
Elementary:,,,,,,,,,,,,,,,,
Kindergarten,CPCTGKGA,DPCTGKGA,SPCTGKGA,,,,,,,,,,,,,
Grade 1,CPCTG01A,DPCTG01A,SPCTG01A,,,,,,,,,,,,,
Grade 2,CPCTG02A,DPCTG02A,SPCTG02A,,,,,,,,,,,,,
Grade 3,CPCTG03A,DPCTG03A,SPCTG03A,,,,,,,,,,,,,
Grade 4,CPCTG04A,DPCTG04A,SPCTG04A,,,,,,,,,,,,,
Grade 5,CPCTG05A,DPCTG05A,SPCTG05A,,,,,,,,,,,,,
Grade 6,CPCTG06A,DPCTG06A,SPCTG06A,,,,,,,,,,,,,
Secondary:,,,,,,,,,,,,,,,,
English/Language Arts,CPCTENGA,DPCTENGA,SPCTENGA,,,,,,,,,,,,,
Foreign Languages,CPCTFLAA,DPCTFLAA,SPCTFLAA,,,,,,,,,,,,,
Mathematics,CPCTMATA,DPCTMATA,SPCTMATA,,,,,,,,,,,,,
Science,CPCTSCIA,DPCTSCIA,SPCTSCIA,,,,,,,,,,,,,
Social Studies,CPCTSOCA,DPCTSOCA,SPCTSOCA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Staff Information,"Count/Average
---------------------- Campus",Percent,District,State,,,,,,,,,,,,
Total Staff,CPSATOFC,100.0%,100.0%,100.0%,,,,,,,,,,,,
Professional Staff:,CPSPTOFC,CPSPTOFP,DPSPTOFP,SPSPTOFP,,,,,,,,,,,,
Teachers,CPSTTOFC,CPSTTOFP,DPSTTOFP,SPSTTOFP,,,,,,,,,,,,
Professional Support,CPSUTOFC,CPSUTOFP,DPSUTOFP,SPSUTOFP,,,,,,,,,,,,
Campus Administration (School Leadership),CPSSTOFC,CPSSTOFP,DPSSTOFP,SPSSTOFP,,,,,,,,,,,,
Educational Aides:,CPSETOFC,CPSETOFP,DPSETOFP,SPSETOFP,,,,,,,,,,,,
Total Minority Staff:,CPSAMIFC,CPSAMIFP,DPSAMIFP,SPSAMIFP,,,,,,,,,,,,
Teachers by Ethnicity and Sex:,,,,,,,,,,,,,,,,
African American,CPSTBLFC,CPSTBLFP,DPSTBLFP,SPSTBLFP,,,,,,,,,,,,
Hispanic,CPSTHIFC,CPSTHIFP,DPSTHIFP,SPSTHIFP,,,,,,,,,,,,
White,CPSTWHFC,CPSTWHFP,DPSTWHFP,SPSTWHFP,,,,,,,,,,,,
American Indian,CPSTINFC,CPSTINFP,DPSTINFP,SPSTINFP,,,,,,,,,,,,
Asian,CPSTASFC,CPSTASFP,DPSTASFP,SPSTASFP,,,,,,,,,,,,
Pacific Islander,CPSTPIFC,CPSTPIFP,DPSTPIFP,SPSTPIFP,,,,,,,,,,,,
Two or More Races,CPSTTWFC,CPSTTWFP,DPSTTWFP,SPSTTWFP,,,,,,,,,,,,
Males Females,CPSTMAFC CPSTFEFC,CPSTMAFP CPSTFEFP,DPSTMAFP DPSTFEFP,SPSTMAFP SPSTFEFP,,,,,,,,,,,,
Teachers by Highest Degree Held:,,,,,,,,,,,,,,,,
No Degree,CPSTNOFC,CPSTNOFP,DPSTNOFP,SPSTNOFP,,,,,,,,,,,,
Bachelors,CPSTBAFC,CPSTBAFP,DPSTBAFP,SPSTBAFP,,,,,,,,,,,,
Masters,CPSTMSFC,CPSTMSFP,DPSTMSFP,SPSTMSFP,,,,,,,,,,,,
Doctorate,CPSTPHFC,CPSTPHFP,DPSTPHFP,SPSTPHFP,,,,,,,,,,,,
Teachers by Years of Experience:,,,,,,,,,,,,,,,,
Beginning Teachers,CPST00FC,CPST00FP,DPST00FP,SPST00FP,,,,,,,,,,,,
1-5 Years Experience,CPST01FC,CPST01FP,DPST01FP,SPST01FP,,,,,,,,,,,,
6-10 Years Experience,CPST06FC,CPST06FP,DPST06FP,SPST06FP,,,,,,,,,,,,
11-20 Years Experience,CPST11FC,CPST11FP,DPST11FP,SPST11FP,,,,,,,,,,,,
Over 20 Years Experience,CPST20FC,CPST20FP,DPST20FP,SPST20FP,,,,,,,,,,,,
Number of Students per Teacher,CPSTKIDR,n/a,DPSTKIDR,SPSTKIDR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Staff Information,Campus,District,State,,,,,,,,,,,,,
Experience of Campus Leadership,,,,,,,,,,,,,,,,
Average Years Experience of Principals,CPSHEXPA,DPSHEXPA,SPSHEXPA,,,,,,,,,,,,,
Average Years Experience of Principals with District,CPSHTENA,DPSHTENA,SPSHTENA,,,,,,,,,,,,,
Average Years Experience of Assistant Principals,CPSLEXPA,DPSLEXPA,SPSLEXPA,,,,,,,,,,,,,
Average Years Experience of Assistant Principals with District,CPSLTENA,DPSLTENA,SPSLTENA,,,,,,,,,,,,,
Average Years Experience of Teachers:,CPSTEXPA,DPSTEXPA,SPSTEXPA,,,,,,,,,,,,,
Average Years Experience of Teachers with District:,CPSTTENA,DPSTTENA,SPSTTENA,,,,,,,,,,,,,
Average Teacher Salary by Years of Experience (regular duties only):,,,,,,,,,,,,,,,,
Beginning Teachers,CPST00SA,DPST00SA,SPST00SA,,,,,,,,,,,,,
1-5 Years Experience,CPST01SA,DPST01SA,SPST01SA,,,,,,,,,,,,,
6-10 Years Experience,CPST06SA,DPST06SA,SPST06SA,,,,,,,,,,,,,
11-20 Years Experience,CPST11SA,DPST11SA,SPST11SA,,,,,,,,,,,,,
Over 20 Years Experience,CPST20SA,DPST20SA,SPST20SA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,,,,,,,,,,,,,,,,
Teachers,CPSTTOSA,DPSTTOSA,SPSTTOSA,,,,,,,,,,,,,
Professional Support,CPSUTOSA,DPSUTOSA,SPSUTOSA,,,,,,,,,,,,,
Campus Administration (School Leadership),CPSSTOSA,DPSSTOSA,SPSSTOSA,,,,,,,,,,,,,
Instructional Staff Percent:,n/a,DPSAINHP,SPSAINHP,,,,,,,,,,,,,
